Date,Hits
"Sun, 01 Sep 2013 00:00:00",243
"Mon, 01 Aug 2016 00:00:00",8
"Mon, 01 Jan 2018 00:00:00",480029
"Thu, 01 Feb 2018 00:00:00",5180484
"Thu, 01 Mar 2018 00:00:00",18811030
"Sun, 01 Apr 2018 00:00:00",67419807
"Tue, 01 May 2018 00:00:00",93952483
"Fri, 01 Jun 2018 00:00:00",128841230
"Sun, 01 Jul 2018 00:00:00",182482745
"Wed, 01 Aug 2018 00:00:00",217994066
"Sat, 01 Sep 2018 00:00:00",246087090
"Mon, 01 Oct 2018 00:00:00",301577862
"Thu, 01 Nov 2018 00:00:00",380878189
"Sat, 01 Dec 2018 00:00:00",477716789
"Tue, 01 Jan 2019 00:00:00",552974965
"Fri, 01 Feb 2019 00:00:00",575739967
"Fri, 01 Mar 2019 00:00:00",923920931
"Mon, 01 Apr 2019 00:00:00",940855929
"Wed, 01 May 2019 00:00:00",765843554
"Sat, 01 Jun 2019 00:00:00",754954425
"Mon, 01 Jul 2019 00:00:00",1069627434
"Thu, 01 Aug 2019 00:00:00",2725820019
"Sun, 01 Sep 2019 00:00:00",1259065353
"Tue, 01 Oct 2019 00:00:00",1681575119
"Fri, 01 Nov 2019 00:00:00",1951735076
"Sun, 01 Dec 2019 00:00:00",1892805276
"Wed, 01 Jan 2020 00:00:00",2285032795
"Sat, 01 Feb 2020 00:00:00",2128782450
"Sun, 01 Mar 2020 00:00:00",2537714564
"Wed, 01 Apr 2020 00:00:00",2467045833
"Fri, 01 May 2020 00:00:00",3008272779
"Mon, 01 Jun 2020 00:00:00",3832615957
"Wed, 01 Jul 2020 00:00:00",6274300493
"Sat, 01 Aug 2020 00:00:00",9692574309
"Tue, 01 Sep 2020 00:00:00",7879211555
"Thu, 01 Oct 2020 00:00:00",31721
"Wed, 01 Sep 2021 00:00:00",82
"Fri, 01 Sep 2023 00:00:00",72
"Mon, 01 Sep 2025 00:00:00",32
"Sat, 01 Dec 2029 00:00:00",20
