Date,Hits
"Tue, 01 May 2018 00:00:00",7
"Fri, 01 Jun 2018 00:00:00",24890
"Sun, 01 Jul 2018 00:00:00",84749
"Wed, 01 Aug 2018 00:00:00",1647813
"Sat, 01 Sep 2018 00:00:00",2391637
"Mon, 01 Oct 2018 00:00:00",38047258
"Thu, 01 Nov 2018 00:00:00",39212666
"Sat, 01 Dec 2018 00:00:00",35101005
"Tue, 01 Jan 2019 00:00:00",43712313
"Fri, 01 Feb 2019 00:00:00",47507971
"Fri, 01 Mar 2019 00:00:00",99687294
"Mon, 01 Apr 2019 00:00:00",71744512
"Wed, 01 May 2019 00:00:00",85269585
"Sat, 01 Jun 2019 00:00:00",83901412
"Mon, 01 Jul 2019 00:00:00",95238557
"Thu, 01 Aug 2019 00:00:00",103468215
"Sun, 01 Sep 2019 00:00:00",102285500
"Tue, 01 Oct 2019 00:00:00",122950503
"Fri, 01 Nov 2019 00:00:00",148905088
"Sun, 01 Dec 2019 00:00:00",173308283
"Wed, 01 Jan 2020 00:00:00",210714815
"Sat, 01 Feb 2020 00:00:00",243796156
"Sun, 01 Mar 2020 00:00:00",271132283
"Wed, 01 Apr 2020 00:00:00",259827473
"Fri, 01 May 2020 00:00:00",267811904
"Mon, 01 Jun 2020 00:00:00",375414061
"Wed, 01 Jul 2020 00:00:00",464314590
"Sat, 01 Aug 2020 00:00:00",515235123
"Tue, 01 Sep 2020 00:00:00",487291606
"Thu, 01 Oct 2020 00:00:00",67
"Wed, 01 Sep 2021 00:00:00",34
