Date,Hits
"Wed, 01 Jun 2011 00:00:00",6
"Fri, 01 Jun 2018 00:00:00",798840
"Sun, 01 Jul 2018 00:00:00",3159247
"Wed, 01 Aug 2018 00:00:00",7958522
"Sat, 01 Sep 2018 00:00:00",23836681
"Mon, 01 Oct 2018 00:00:00",29199884
"Thu, 01 Nov 2018 00:00:00",19074825
"Sat, 01 Dec 2018 00:00:00",17593337
"Tue, 01 Jan 2019 00:00:00",22685307
"Fri, 01 Feb 2019 00:00:00",32674574
"Fri, 01 Mar 2019 00:00:00",41601696
"Mon, 01 Apr 2019 00:00:00",41957440
"Wed, 01 May 2019 00:00:00",40735659
"Sat, 01 Jun 2019 00:00:00",44214910
"Mon, 01 Jul 2019 00:00:00",63478909
"Thu, 01 Aug 2019 00:00:00",91342085
"Sun, 01 Sep 2019 00:00:00",166584555
"Tue, 01 Oct 2019 00:00:00",240714944
"Fri, 01 Nov 2019 00:00:00",228394004
"Sun, 01 Dec 2019 00:00:00",91709479
"Sat, 01 Feb 2020 00:00:00",31
"Sun, 01 Mar 2020 00:00:00",6577
"Wed, 01 Apr 2020 00:00:00",28829023
"Fri, 01 May 2020 00:00:00",111746395
"Mon, 01 Jun 2020 00:00:00",252875223
"Wed, 01 Jul 2020 00:00:00",357500876
"Sat, 01 Aug 2020 00:00:00",1358737608
"Tue, 01 Sep 2020 00:00:00",1042644296
"Thu, 01 Oct 2020 00:00:00",1006663494
"Sat, 01 Dec 2029 00:00:00",14
